,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分部计算过程,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prefill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Only Prefill Measurement,,,,,,,,,,Prefill+Generation Measurement,,,,,,,,,,Only Prefill Roofline,,,,,,Prefill+Generation Roofline,,,,,,,,AllGather1,,,,,AllGather2,,,,,AllGather3,,,,,AllGather4,,,,,AllReduce1,,,,,AllReduce2,,,,,AllGather1,,,,,AllGather2,,,,,AllGather3,,,,,AllGather4,,,,,AllReduce1,,,,,AllReduce2,,,,
,,Layer,Dmodel,FFN Hidden,Card Num,batch,Input_Length,Out_Length,Total Time,AllGather,AllReduce,GemmOp,DecOptMHA,MHA-MV,MHA-Soft,Binary,LayerNom,Rotary,Total Time,AllGather,AllReduce,GemmOp,DecOptMHA,MHA-MV,MHA-Soft,Binary,LayerNom,Rotary,Comp-P,Error,AllGather,Error,AllReduce,Error,Comp-GP,Error,Comp-GA,Error,AllGather,Error,AllReduce,Error,Size/Card,Total Size,Trans Num,Time/Trans,Total Time,Size/Card,Total Size,Trans Num,Time/Trans,Total Time,Size/Card,Total Size,Trans Num,Time/Trans,Total Time,Size/Card,Total Size,Trans Num,Time/Trans,Total Time,Size/Card,Total Size,Trans Num,Time/Trans,Total Time,Size/Card,Total Size,Trans Num,Time/Trans,Total Time,Size/Card,Total Size,Trans Num,Time/Trans,Total Time,Size/Card,Total Size,Trans Num,Time/Trans,Total Time,Size/Card,Total Size,Trans Num,Time/Trans,Total Time,Size/Card,Total Size,Trans Num,Time/Trans,Total Time,Size/Card,Total Size,Trans Num,Time/Trans,Total Time,Size/Card,Total Size,Trans Num,Time/Trans,Total Time
,M6-3B,32,2560,13652,2,1,32,32,0.02206,0.006689,,,0.000851248,,,,,,0.37071352,0.07325524,,0.197606065,0.01798389,,,,,,,,0.00381904,42.91%,,,,,,,0.07195208,1.78%,,,81920,163840,32,26.115,835.68,81920,163840,32,26.115,835.68,436864,873728,32,41,1312,81920,163840,32,26.115,835.68,,,,,,,,,,,2560,5120,992,16.9075,16772.24,2560,5120,992,16.9075,16772.24,13652,27304,992,17.96,17816.32,2560,5120,992,16.9075,16772.24,,,,,,,,,,
,,32,2560,13652,2,1,256,256,0.042426109,0.01259424,,,0.001833677,,,,,,2.940119743,0.5535459,,0.18827325,0.1839544,,,,,,,,0.01050648,16.58%,,,,,,,0.57095568,-3.15%,,,655360,1310720,32,50.4425,1614.16,655360,1310720,32,50.4425,1614.16,3494912,6989824,32,177,5664,655360,1310720,32,50.4425,1614.16,,,,,,,,,,,2560,5120,8160,16.9075,137965.2,2560,5120,8160,16.9075,137965.2,13652,27304,8160,17.96,146553.6,2560,5120,8160,16.9075,137965.2,,,,,,,,,,
,,32,2560,13652,2,1,1024,1024,0.113106155,0.03835704,,,0.01114951,,,,,,12.28256097,2.177253,,0.177263765,1.396929,,,,,,,,0.0341096,11.07%,,,,,,,2.28249992,-4.83%,,,2621440,5242880,32,138.975,4447.2,2621440,5242880,32,138.975,4447.2,13979648,27959296,32,649,20768,2621440,5242880,32,138.975,4447.2,,,,,,,,,,,2560,5120,32736,16.9075,553483.92,2560,5120,32736,16.9075,553483.92,13652,27304,32736,17.96,587938.56,2560,5120,32736,16.9075,553483.92,,,,,,,,,,
,,32,2560,13652,2,1,1500,548,0.180602312,0.05884258,,,0.02827163,,,,,,7.136720467,1.423164,,0.199414284,0.8377519,,,,,,,,0.04832,17.88%,,,,,,,1.25053848,12.13%,,,3840000,7680000,32,192,6144,3840000,7680000,32,192,6144,20478000,40956000,32,934,29888,3840000,7680000,32,192,6144,,,,,,,,,,,2560,5120,17504,16.9075,295948.88,2560,5120,17504,16.9075,295948.88,13652,27304,17504,17.96,314371.84,2560,5120,17504,16.9075,295948.88,,,,,,,,,,
,,32,2560,13652,2,2,32,32,0.023880291,0.007203831,,,0.000918525,,,,,,0.435839415,0.08557246,,0.196339425,0.01935349,,,,,,,,0.00476112,33.91%,,,,,,,0.07428792,13.19%,,,163840,327680,32,29.595,947.04,163840,327680,32,29.595,947.04,873728,1747456,32,60,1920,163840,327680,32,29.595,947.04,,,,,,,,,,,5120,10240,992,17.3725,17233.52,5120,10240,992,17.3725,17233.52,27304,54608,992,17.97,17826.24,5120,10240,992,17.3725,17233.52,,,,,,,,,,
